AeroDyn airfoil file Created with QBlade v0.91b 32-Bit on 03.06.2016 at 15:35:24 Compatible with AeroDyn v13.0.
Polar "T1_Re2.900_M0.00_N9.0 360 M" on Foil "T1_Re2.900_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.57          Angle of attack for zero Cn for linear Cn curve (deg)
6.67642        Cn slope for zero lift for linear Cn curve (1/rad)
0.5897         Cn at stall value for positive angle of attack for linear Cn curve
-0.8814        Cn at stall value for negative angle of attack for linear Cn curve
-0.50          Angle of attack for minimum CD (deg)
0.0045         Minimum CD value
   -180.00   -0.0464    0.0060
   -179.00    0.0475    0.0065
   -178.00    0.1413    0.0081
   -177.00    0.2352    0.0106
   -176.00    0.3291    0.0143
   -175.00    0.4229    0.0189
   -174.00    0.5167    0.0245
   -173.00    0.6068    0.0312
   -172.00    0.6757    0.0388
   -171.00    0.6958    0.0475
   -170.00    0.6589    0.0571
   -169.00    0.5937    0.0677
   -168.00    0.5348    0.0792
   -167.00    0.4959    0.0917
   -166.00    0.4758    0.1051
   -165.00    0.4694    0.1195
   -164.00    0.4720    0.1347
   -163.00    0.4802    0.1507
   -162.00    0.4918    0.1677
   -161.00    0.5055    0.1854
   -160.00    0.5202    0.2040
   -159.00    0.5353    0.2233
   -158.00    0.5506    0.2434
   -157.00    0.5656    0.2642
   -156.00    0.5801    0.2858
   -155.00    0.5941    0.3080
   -154.00    0.6074    0.3309
   -153.00    0.6200    0.3544
   -152.00    0.6317    0.3785
   -151.00    0.6425    0.4032
   -150.00    0.6525    0.4284
   -149.00    0.6615    0.4542
   -148.00    0.6696    0.4804
   -147.00    0.6767    0.5070
   -146.00    0.6829    0.5341
   -145.00    0.6880    0.5615
   -144.00    0.6922    0.5893
   -143.00    0.6954    0.6174
   -142.00    0.6977    0.6458
   -141.00    0.6990    0.6744
   -140.00    0.6993    0.7032
